archivo,zero_cr,spectral_centroid,spectral_bw,spectral_rf,croma,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,BPM,auto_c,genero
01NealAndJackAndMe_02m_00s__03m_00s.mp3,19,2587.462406,2477.925675,5121.050436,0.383507669,-169.9787903,152.9571228,-59.71761322,45.56572723,1.460423827,11.21873474,-5.288928032,0.169346869,-2.065011263,-4.57286787,-2.463148355,-1.661776423,-4.412208557,-2.717072487,-5.612997055,-5.965155125,-2.509510756,-5.329991341,-1.202669263,-5.551337719,147.65625,0.500855778,1
01Red_02m_00s__03m_00s.mp3,9,2322.943089,2829.668325,4885.259572,0.520435452,-157.4065704,161.4885101,-40.47473145,53.28764343,0.473115742,25.92463112,-15.61225796,10.07385635,-7.032457829,3.938846111,4.012057304,2.367475033,0.01667878,-5.398590088,-2.280617476,-7.330555916,-0.319651663,-5.679760933,1.41170001,-7.383404732,114.84375,0.722791227,1
01Stinkfist_02m_00s__03m_00s.mp3,8,2286.95875,2286.154412,4361.117254,0.561242878,-113.943222,162.3461151,-71.61636353,45.55899811,26.37012672,23.87037849,-0.137564763,12.49563789,5.82306385,9.812588692,7.080881596,5.623337746,4.49020052,1.540387869,4.882950783,-3.211069107,-0.358977646,-1.201416135,-1.16344583,-2.90644908,114.84375,0.583722521,1
01TheGlassPrision_02m_00s__03m_00s.mp3,0,3179.867426,3435.100668,6918.410986,0.613804936,-69.1508255,129.7953491,-42.86138535,69.59849548,-10.27277946,34.02907562,-9.138677597,19.36537361,-1.419155598,12.20038605,-0.84586376,5.774746895,5.48542738,3.868690014,5.983426571,-2.040247679,1.643819928,-2.26517272,4.520447731,-3.024510384,112.3471467,0.639591506,1
01TheGlassPrision_03m_00s__04m_00s.mp3,2,3141.498608,3552.577851,7000.974852,0.61523664,-72.16888428,131.0230103,-37.63323593,65.4949646,-9.694889069,36.0926857,-12.70128918,21.88489151,-5.404457569,14.05037117,-1.707092285,8.452722549,4.566031456,4.93572855,6.080338955,-0.044836637,3.642874956,-1.877601027,3.869633913,-4.908081055,114.84375,0.598469233,1
01TheGrudge_02m_00s__03m_00s.mp3,0,2505.27488,2647.023241,4955.666453,0.596150756,-138.1599579,149.4208832,-56.20794296,49.35937881,17.86567307,21.25197411,2.581634998,14.23438263,4.735535622,10.52402306,2.23998642,6.942673206,3.921765327,3.906462431,3.500404835,-1.519149065,-0.214494482,-1.155384779,1.635229945,-1.787195206,132.5120192,0.588562293,1
01TheGrudge_03m_00s__04m_00s.mp3,8,2699.928055,2657.880537,5140.886654,0.625049412,-96.53209686,154.6006012,-70.22116089,44.78303528,14.95678997,21.99684334,-3.559457064,17.68328857,0.456774026,12.18498707,-0.399175435,6.203555584,1.675871968,2.77045083,1.195055485,-4.674591541,-0.353047311,-0.212460622,2.746444464,-1.918989897,132.5120192,0.584095416,1
01Vicarious_02m_00s__03m_00s.mp3,9,3307.410367,3441.349661,6967.426341,0.630067289,-59.34626007,126.980751,-49.53772354,61.97987366,-2.580299377,36.37311554,-10.18828583,23.10740089,-4.386015415,14.87131023,0.884289503,6.437767506,3.211956263,4.037862778,2.844952583,-2.32973361,-1.275412679,-5.735093117,4.583002567,-5.05620575,114.84375,0.636800383,1
01Vicarious_03m_00s__04m_00s.mp3,4,3080.456883,3224.97437,6303.517155,0.616967261,-88.07635498,125.4202423,-51.09648895,64.30307007,3.742860794,35.4091568,-4.816849709,18.38382149,0.259669185,15.02746391,4.117115021,5.032711029,4.440361023,4.423893452,4.717285633,-0.561161637,-0.471530706,-3.853378773,3.96510148,-3.126577854,114.84375,0.464576482,1
01VoodooMonAmour_02m_00s__03m_00s.mp3,11,3111.220503,3330.589998,6680.38362,0.512395501,-48.31362152,141.7122345,-49.35014725,51.31455612,-18.73121071,38.04275131,-12.76637173,18.46376228,-3.027193546,7.106658936,-1.844744921,4.633891106,0.343224585,-1.598797321,4.995491505,-1.729544878,1.731866598,-7.326058865,-0.289216459,-6.871204853,99.38401442,0.632500169,1
